# m3_primary_edge_ledger -- M3 PRIMARY CollecTRI signed-edge ledger v2 (SEAL CANDIDATE, TASK-028 Freeze B)
# AMENDMENT v2 per Vladimir DEC-M3-DUAL-EDGE. Supersedes v1 (which split ALL unresolved edges).
# ONE ROW PER ADMITTED PRIMARY EDGE (source-ledger order preserved).
#
# PRIMARY POLICY:
#   consensus_sign = +1 if consensus_stimulation and not consensus_inhibition;
#                    -1 if consensus_inhibition  and not consensus_stimulation;
#                    unresolved otherwise (neither, or both consensus flags set).
#   An edge with a RESOLVED consensus sign PARTICIPATES ONCE in primary signed scoring with
#   that sign -- this INCLUDES both-flagged edges that resolved to a single consensus sign.
#   Edges with an UNRESOLVED consensus sign are EXCLUDED from primary signed scoring; they are
#   NOT split into activation+repression and are NOT assigned an arbitrary sign.
#   primary_inclusion=Y iff resolved; primary_sign=consensus sign if included, blank if excluded.
#   exclusion_reason: 'none' if included; else the TRUE reason
#     ('unresolved-both-flagged' or 'unresolved-single-flag-no-consensus').
#
# WEIGHTING RULE:
#   VIPER/aREA mode-of-regulation (MoR) = consensus sign (+1 activation, -1 repression).
#   weight = CollecTRI CONSENSUS confidence = 1.0 when the primary sign is a consensus call
#   (consensus_stimulation for +1, consensus_inhibition for -1); 0.5 for a non-consensus curated
#   call. weight blank for excluded (primary_inclusion=N) edges. evidence_class = CollecTRI-curated.
#
# PRE-FROZEN SENSITIVITY SETS (membership recorded here; NOTHING is scored in this ledger):
#   S1 flag-split (s1_representation): every both-flagged edge (all 79) = TWO contributions
#     (activation +1 and repression -1), each with its own consensus-confidence weight ->
#     s1_representation='split-dual'. Non-both-flagged consensus edges enter once -> 'single'.
#   S2 conservative exclusion (s2_inclusion): ALL both-flagged edges EXCLUDED (s2_inclusion=N);
#     only single-flag consensus edges remain (s2_inclusion=Y).
#
# both_flagged = stimulation_flag AND inhibition_flag (raw CollecTRI is_stimulation/is_inhibition).
# consensus_resolved = both_flagged AND consensus_sign in {+1,-1}.
# Columns: TF	target	ensembl_id	stimulation_flag	inhibition_flag	consensus_sign	both_flagged	consensus_resolved	primary_inclusion	primary_sign	exclusion_reason	s1_representation	s2_inclusion	evidence_class	weight
TF	target	ensembl_id	stimulation_flag	inhibition_flag	consensus_sign	both_flagged	consensus_resolved	primary_inclusion	primary_sign	exclusion_reason	s1_representation	s2_inclusion	evidence_class	weight
PAX8	TNF	ENSG00000232810	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX8	TG	ENSG00000042832	Y	Y	1	Y	Y	Y	1	none	split-dual	N	CollecTRI-curated	1.0
PAX8	TPO	ENSG00000115705	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX8	SLC5A5	ENSG00000105641	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX8	HHEX	ENSG00000152804	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX8	TSHR	ENSG00000165409	Y	Y	1	Y	Y	Y	1	none	split-dual	N	CollecTRI-curated	1.0
PAX8	RET	ENSG00000165731	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX8	HCRT	ENSG00000161610	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX8	DUOX1	ENSG00000137857	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX8	TH	ENSG00000180176	Y	Y	unresolved	Y	N	N		unresolved-both-flagged	split-dual	N	CollecTRI-curated	
PAX8	TERT	ENSG00000164362	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX8	L1CAM	ENSG00000198910	Y	Y	-1	Y	Y	Y	-1	none	split-dual	N	CollecTRI-curated	1.0
PAX8	TNFRSF11A	ENSG00000141655	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX8	CDH17	ENSG00000079112	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX8	WT1	ENSG00000184937	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX8	TSHB	ENSG00000134200	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX8	INS	ENSG00000254647	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX8	BPIFA4P	ENSG00000183566	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX8	F2R	ENSG00000181104	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX8	SLC3A1	ENSG00000138079	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX8	NKX2-1	ENSG00000136352	Y	Y	1	Y	Y	Y	1	none	split-dual	N	CollecTRI-curated	1.0
PAX8	FOXE1	ENSG00000178919	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX8	PPARG	ENSG00000132170	Y	Y	-1	Y	Y	Y	-1	none	split-dual	N	CollecTRI-curated	1.0
PAX8	DUOX2	ENSG00000140279	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
PAX2	EN2	ENSG00000164778	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX2	GCG	ENSG00000115263	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX2	GDNF	ENSG00000168621	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX2	ROBO3	ENSG00000154134	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX2	PAX6	ENSG00000007372	Y	Y	unresolved	Y	N	N		unresolved-both-flagged	split-dual	N	CollecTRI-curated	
PAX2	MITF	ENSG00000187098	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX2	WNT4	ENSG00000162552	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX2	NPHS1	ENSG00000161270	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
PAX2	NAIP	ENSG00000249437	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX2	RET	ENSG00000165731	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX2	GBX2	ENSG00000168505	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX2	WNT5A	ENSG00000114251	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX2	DEFB1	ENSG00000164825	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
PAX2	WT1	ENSG00000184937	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX2	L1CAM	ENSG00000198910	N	Y	-1	N	N	Y	-1	none	single	Y	CollecTRI-curated	1.0
PAX2	PAX5	ENSG00000196092	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX2	IL5	ENSG00000113525	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX2	SIX1	ENSG00000126778	Y	Y	-1	Y	Y	Y	-1	none	split-dual	N	CollecTRI-curated	1.0
PAX2	WNT1	ENSG00000125084	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX2	PLAAT4	ENSG00000133321	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
PAX2	PAX8	ENSG00000125618	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	HP	ENSG00000257017	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	SLURP1	ENSG00000126233	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	NFKBIB	ENSG00000104825	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	ESR1	ENSG00000091831	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
SOX17	ACHE	ENSG00000087085	Y	N	1	N	N	Y	1	none	single	Y	CollecTRI-curated	1.0
